PRODUCTID,RECALLEVENTID,PRODUCTTYPESHORT,FIRMCITYNAM,FIRMCOUNTRYNAM,PHASETXT,RECALLINITIATIONDT,FIRMLEGALNAM,DISTRIBUTIONAREASUMMARYTXT,CENTERCD,FIRMSTATEPRVNCNAM,CENTERCLASSIFICATIONDT,TERMINATIONDT,CENTERCLASSIFICATIONTYPETXT,ENFORCEMENTREPORTDT,EVENTLMD,PRODUCTDESCRIPTIONTXT,PRODUCTSHORTREASONTXT,RECALLNUM,PRODUCTDISTRIBUTEDQUANTITY,RID
205808,93676,Devices,Waukegan,United States,Ongoing,12/28/2023,"Cardinal Health 200, LLC","Distribution US nationwide and Canada.

Foreign distribution updated 9/6/2024 to only include Canada.",CDRH,Illinois,02/02/2024,,1,02/14/2024,09/06/2024,"Cardinal Health Monoject, 6 mL Syringe Luer-Lock Tip  Soft Pack, REF 1180600777","Cardinal Health is expanding their previous product correction actions to a product removal of all sizes of Cardinal Health brand Monoject sterile Syringe Luer-Lock (1, 3, 6, 12, 20, 35, and 60 mL) and Cardinal Health brand Monoject sterile Enteral Syringes with the ENFit connection (1, 3, 6, 12, 35, and 60 mL) due to a change in manufacturing and rebranding efforts.",Z-0853-2024,,37
205814,93676,Devices,Waukegan,United States,Ongoing,12/28/2023,"Cardinal Health 200, LLC","Distribution US nationwide and Canada.

Foreign distribution updated 9/6/2024 to only include Canada.",CDRH,Illinois,02/02/2024,,1,02/14/2024,09/06/2024,"Cardinal Health Monoject, 3 mL Purple Enteral Syringe with Enfit Connection Sterile, REF 403SE","Cardinal Health is expanding their previous product correction actions to a product removal of all sizes of Cardinal Health brand Monoject sterile Syringe Luer-Lock (1, 3, 6, 12, 20, 35, and 60 mL) and Cardinal Health brand Monoject sterile Enteral Syringes with the ENFit connection (1, 3, 6, 12, 35, and 60 mL) due to a change in manufacturing and rebranding efforts.",Z-0859-2024,,36
205095,93676,Devices,Waukegan,United States,Ongoing,12/28/2023,"Cardinal Health 200, LLC","Distribution US nationwide and Canada.

Foreign distribution updated 9/6/2024 to only include Canada.",CDRH,Illinois,02/02/2024,,1,02/14/2024,09/06/2024,"Cardinal Health Monoject, 35mL Enteral Syringe (purple) - For Use with ENFit Connection System, REF 435SE","The listed lots of Cardinal Health Monoject Enteral Syringes with ENFit (6, 12, 35, 60 mL) have recognition and compatibility issues with certain syringe enteral feeding pumps.  As a result, Cardinal Health recommends that they not be used with enteral syringe feeding pumps.",Z-0849-2024,223056 units,35
205806,93676,Devices,Waukegan,United States,Ongoing,12/28/2023,"Cardinal Health 200, LLC","Distribution US nationwide and Canada.

Foreign distribution updated 9/6/2024 to only include Canada.",CDRH,Illinois,02/02/2024,,1,02/14/2024,09/06/2024,"Cardinal Health Monoject, 1 mL Tuberculin Syringe Luer-Lock Tip  Soft Pack, REF 1180100777","Cardinal Health is expanding their previous product correction actions to a product removal of all sizes of Cardinal Health brand Monoject sterile Syringe Luer-Lock (1, 3, 6, 12, 20, 35, and 60 mL) and Cardinal Health brand Monoject sterile Enteral Syringes with the ENFit connection (1, 3, 6, 12, 35, and 60 mL) due to a change in manufacturing and rebranding efforts.",Z-0851-2024,,34
205811,93676,Devices,Waukegan,United States,Ongoing,12/28/2023,"Cardinal Health 200, LLC","Distribution US nationwide and Canada.

Foreign distribution updated 9/6/2024 to only include Canada.",CDRH,Illinois,02/02/2024,,1,02/14/2024,09/06/2024,"Cardinal Health Monoject, 35 mL Syringe Luer-Lock Tip  Soft Pack, REF 1183500777","Cardinal Health is expanding their previous product correction actions to a product removal of all sizes of Cardinal Health brand Monoject sterile Syringe Luer-Lock (1, 3, 6, 12, 20, 35, and 60 mL) and Cardinal Health brand Monoject sterile Enteral Syringes with the ENFit connection (1, 3, 6, 12, 35, and 60 mL) due to a change in manufacturing and rebranding efforts.",Z-0856-2024,,33
205810,93676,Devices,Waukegan,United States,Ongoing,12/28/2023,"Cardinal Health 200, LLC","Distribution US nationwide and Canada.

Foreign distribution updated 9/6/2024 to only include Canada.",CDRH,Illinois,02/02/2024,,1,02/14/2024,09/06/2024,"Cardinal Health Monoject, 20 mL Syringe Luer-Lock Tip  Soft Pack, REF 1182000777","Cardinal Health is expanding their previous product correction actions to a product removal of all sizes of Cardinal Health brand Monoject sterile Syringe Luer-Lock (1, 3, 6, 12, 20, 35, and 60 mL) and Cardinal Health brand Monoject sterile Enteral Syringes with the ENFit connection (1, 3, 6, 12, 35, and 60 mL) due to a change in manufacturing and rebranding efforts.",Z-0855-2024,,32
205096,93676,Devices,Waukegan,United States,Ongoing,12/28/2023,"Cardinal Health 200, LLC","Distribution US nationwide and Canada.

Foreign distribution updated 9/6/2024 to only include Canada.",CDRH,Illinois,02/02/2024,,1,02/14/2024,09/06/2024,"Cardinal Health Monoject, 60mL Enteral Syringe (purple) -  For Use with ENFit
Connection System, REF 460SE","The listed lots of Cardinal Health Monoject Enteral Syringes with ENFit (6, 12, 35, 60 mL) have recognition and compatibility issues with certain syringe enteral feeding pumps.  As a result, Cardinal Health recommends that they not be used with enteral syringe feeding pumps.",Z-0850-2024,397676 units,31
205461,93803,Devices,Danvers,United States,Ongoing,12/28/2023,NeuroLogica Corporation,"US Nationwide Distribution including states of: AL, AR, CA, CO, CT, DC, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, PA, SD, TN, TX, VA, WI & WV.",CDRH,Massachusetts,02/09/2024,,2,02/21/2024,02/09/2024,"Samsung Digital Diagnostic Mobile X-ray System, Model GM85.",Mobile x-ray systems moving arm frame welding issue which presents the potential of bodily harm due to fall of the arm.,Z-1056-2024,261 devices,30
191267,89326,Drugs,Parsippany,United States,Terminated,12/31/2021,Teva Pharmaceuticals USA,"Methylprednisolone, TN
Norepinephrine BItartrate - MS, OH",CDER,New Jersey,01/13/2022,06/04/2024,2,01/19/2022,06/04/2024,"Norepinephrine Bitartrate Injection USP 4 mg/4 mL (1 mg/mL), 4 mL Single-Dose Vials, 10 vials per carton, Rx Only, Manufactured By: Teva Pharmaceuticals USA, Inc., Parsippany, NJ 07054,
NDC 0703-1153-03.","
Lack of Assurance of Sterility",D-0371-2022,"11,450 vials",1
191266,89326,Drugs,Parsippany,United States,Terminated,12/31/2021,Teva Pharmaceuticals USA,"Methylprednisolone, TN
Norepinephrine BItartrate - MS, OH",CDER,New Jersey,01/13/2022,06/04/2024,2,01/19/2022,06/04/2024,"MethylPREDNISolone Acetate Injectable Suspension USP 400 mg/10mL (40mg/mL), 10 mL Multiple-Dose Vial, Rx Only, Manufactured for: Northstar Rx LLC, Memphis, TN 38141, Manufactured By: Teva Pharmaceuticals USA, Inc., Parsippany, NJ 07054, NDC 16714-090-01, packaged in cartons.","
Lack of Assurance of Sterility",D-0370-2022,"7,400 cartons",2
